country;gdp_percap
Andorra;
United Arab Emirates;617143276608.108
Afghanistan;61355910725.9986
Antigua and Barbuda;2014124169.51913
Albania;32313499536.6332
Armenia;24347467505.3747
Angola;177293000638.054
Argentina;
American Samoa;
Austria;407488547351.227
Australia;1077876758733.47
Aruba;
Azerbaijan;167671363982.746
Bosnia and Herzegovina;39805319763.7762
Barbados;4567090246.21476
Bangladesh;498573463727.569
Belgium;487538430630.049
Burkina Faso;28604730738.9121
Bulgaria;124306601828.639
Bahrain;62194561980.0076
Burundi;8358134959.95279
Benin;21595320719.1346
Bermuda;
Brunei Darussalam;29820672081.7385
Bolivia;70279206390.0205
Brazil;3287194139257.86
Bahamas. The;9031249033.11013
Bhutan;6000891303.95622
Botswana;35498887730.8669
Belarus;173070090985.306
Belize;2976121359.98391
Canada;1,60035E+12
Congo. Dem. Rep.;56008513021.6173
Central African Republic;2747480021.38971
Congo. Rep.;28379838622.0499
Switzerland;487517767041.142
Cote d'Ivoire;72456784032.2901
Chile;393061758483.792
Cameroon;67933791839.9206
China;18082911784267.4
Colombia;639287812765.726
Costa Rica;71233656972.823
Cuba;
Curacao;
Cyprus;34950314584.4434
Czech Republic;328242194833.479
Germany;3757092104907.1
Djibouti;2875918701.38971
Denmark;259576557742.764
Dominica;789752068.25219
Dominican Republic;138510937105.059
Algeria;555165795346.707
Ecuador;181503367197.538
Estonia;36991216691.9912
Egypt. Arab Rep.;946976723889.369
Eritrea;
Spain;1562939556109.31
Ethiopia;145946062639.067
Finland;222249410725.287
Fiji;7822574627.67695
Micronesia. Fed. Sts.;347787041.639182
France;2604193431780.1
Gabon;32911509709.3232
United Kingdom;2598558036046.24
Grenada;1326213456.60151
Georgia;34304495694.4904
Ghana;109733562009.881
Gibraltar;
Greenland;
Gambia. The;3155411412.00575
Guinea;15046654274.896
Equatorial Guinea;28624735955.5602
Greece;291859469601.708
Guatemala;119733312726.822
Guam;
Guinea-Bissau;2531503080.68891
Guyana;5534591704.20703
Hong Kong SAR. China;400803153182.682
Honduras;39224142692.7839
Croatia;91697991168.7273
Haiti;18383850536.4783
Hungary;247258673490.934
Indonesia;2685308944551.24
Ireland;227983995914.168
Israel;276897229113.662
Isle of Man;
India;7347139016552.62
Iraq;526088983801.918
Iran. Islamic Rep.;1357025247233.4
Iceland;14402788177.5269
Italy;2153114580119.12
Channel Islands;
Jamaica;24240613119.6308
Jordan;79907317079.9335
Japan;4650126624442.28
Kenya;133027499286.487
Kyrgyz Republic;19532367470.8372
Cambodia;50192912246.4112
Kiribati;200573939.963712
Comoros;1104552493.02062
St. Kitts and Nevis;1281631622.48132
Korea. Rep.;1685033240564.16
Kuwait;275904273935.757
Cayman Islands;
Kazakhstan;444146690402.849
Lao PDR;35722906913.6598
Lebanon;79538358384.2401
St. Lucia;1978271657.92244
Liechtenstein;
Sri Lanka;232545765799.1
Liberia;3717129034.45146
Lesotho;5585056889.89656
Lithuania;81185283353.6434
Luxembourg;54774901730.5945
Latvia;46949537463.9917
Libya;97978754359.575
Morocco;255021594220.102
Monaco;
Moldova;17819012678.3089
Montenegro;9361197209.97226
St. Martin (French part);
Madagascar;33989732960.9129
Marshall Islands;201889433.0225
Macedonia. FYR;28056825059.7777
Mali;39320432586.0447
Myanmar;
Mongolia;34908524984.9008
Macao SAR. China;81272091735.7857
Northern Mariana Islands;
Mauritania;15424745522.8428
Malta;
Mauritius;23528599851.6178
Maldives;5042757038.74953
Malawi;19579527966.364
Mexico;2176312204135.91
Malaysia;769446117772.319
Mozambique;30910414296.599
Namibia;23993218082.4312
New Caledonia;
Niger;18132645511.5022
Nigeria;1052935090415.7
Nicaragua;29782962569.3289
Netherlands;813792866343.083
Norway;337527424536.643
Nepal;67137245860.629
New Zealand;170067643584.01
Oman;164239716194.99
Panama;81615335496.263
Peru;373133139790.089
French Polynesia;
Papua New Guinea;21384483997.2303
Philippines;6,93419E+11
Pakistan;893568205601.996
Poland;960262795853.401
Puerto Rico;
West Bank and Gaza;19516090035.5495
Portugal;299134381462.057
Palau;294638756.421369
Paraguay;58605160468.3996
Qatar;307221685852.424
Romania;405587117463.088
Serbia;97678668993.8968
Russian Federation;3609112835774.7
Rwanda;18910126560.6661
Saudi Arabia;1612284653933.33
Solomon Islands;1223429202.9163
Seychelles;2423787279.04065
Sudan;160714924868.003
Sweden;439212117244.623
Singapore;457758052961.476
Slovenia;62689712542.7489
Slovak Republic;153491523082.486
Sierra Leone;12751274584.93
San Marino;
Senegal;34193801915.269
Somalia;
Suriname;8987861675.8229
South Sudan;24135064056.7975
Sao Tome and Principe;594032197.355677
El Salvador;50928070273.2384
Sint Maarten (Dutch part);
Syrian Arab Republic;
Swaziland;10562038805.6232
Turks and Caicos Islands;
Chad;29644944947.5817
Togo;10009362090.1462
Thailand;1067027097371.44
Tajikistan;22403614768.4817
Timor-Leste;2671111507.49367
Turkmenistan;82419910279.1269
Tunisia;124347355350.363
Tonga;552230754.568808
Turkey;1503215796524.71
Trinidad and Tobago;43456961144.9425
Tuvalu;37386237.9104201
Tanzania;132000919681.029
Ukraine;393155850163.477
Uganda;67152701693.8081
United States;1,73481E+13
Uruguay;71328536177.9374
Uzbekistan;172042440964.65
St. Vincent and the Grenadines;1178115272.20826
Venezuela. RB;
Virgin Islands (U.S.);
Vietnam;512580867661.675
Vanuatu;787426590.92733
Samoa;1114873116.85659
Yemen. Rep.;
South Africa;707261202568.293
Zambia;59908709211.2076
Zimbabwe;27412959169.2259
